Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Random Forest,0.8586956521739131,0.8717948717948718,0.9577464788732394,0.9127516778523489,0.9466800804828973
Gradient Boosting,0.8913043478260869,0.8961038961038961,0.971830985915493,0.9324324324324325,0.9191817572099261
SVM,0.7717391304347826,0.7717391304347826,1.0,0.8711656441717791,0.8279678068410462
K-Nearest Neighbors,0.8695652173913043,0.8831168831168831,0.9577464788732394,0.918918918918919,0.8775989268947015
Decision Tree,0.8804347826086957,0.9054054054054054,0.9436619718309859,0.9241379310344827,0.801475519785379
